INDEX,DRMMSI,DRLATITUDE,DRLONGITUDE,DRDIRECTION,DRSPEED,DRGPSTIME,STATUS,DRTRUEHEADING,DIRECTION
124,244726000,31.191565,122.6268633,49.5,2.7,1556440063,1,0,-7.2
125,244726000,31.191715,122.62703,43.5,2.9,1556440078,1,0,-6
126,244726000,31.191895,122.62718,36.9,2.9,1556440093,1,0,-6.6
127,244726000,31.19211167,122.6273267,29.1,3.3,1556440109,1,0,-7.8
128,244726000,31.19241333,122.62746,18.4,3.6,1556440130,1,0,-10.7
129,244726000,31.19272,122.6275233,9.8,3.8,1556440146,1,0,-8.6
130,244726000,31.19296833,122.6275267,1,3.8,1556440161,1,0,-8.8
131,244726000,31.19361833,122.6273483,339.5,4.3,1556440196,1,0,338.5
132,244726000,31.19394333,122.6271217,328.2,4.6,1556440213,1,0,-11.3
133,244726000,31.19421667,122.626755,306.2,4.4,1556440233,1,0,-22
134,244726000,31.19426833,122.6263883,276.4,4.3,1556440250,1,0,-29.8
135,244726000,31.19428667,122.6254517,271.4,5.7,1556440282,1,0,-5
136,244726000,31.19411167,122.623925,258.6,7.6,1556440324,1,0,-12.8
137,244726000,31.19387,122.62316,248.5,8.1,1556440342,1,0,-10.1
138,244726000,31.19327167,122.6212483,250.8,9.7,1556440384,1,0,2.3
139,244726000,31.19296333,122.6202767,249.3,10.3,1556440403,1,0,-1.5
140,244726000,31.19261833,122.6191267,250.7,10.9,1556440424,0,0,1.4
141,244726000,31.19189167,122.6168567,249.4,11.8,1556440462,0,0,-1.3
142,244726000,31.191475,122.6155767,249.6,12.1,1556440484,0,0,0.2
143,244726000,31.19066333,122.6131333,246.3,12.5,1556440523,0,0,-3.3
144,244726000,31.19001667,122.6111317,249.1,12.9,1556440553,0,0,2.8
145,244726000,31.18934833,122.609255,251.3,13,1556440583,0,0,2.2
146,244726000,31.18888167,122.6078633,248.2,13.2,1556440603,0,0,-3.1
147,244726000,31.187485,122.60382,248.6,13.6,1556440664,0,0,0.4
148,244726000,31.18697,122.60248,246.9,13.6,1556440684,0,0,-1.7
149,244726000,31.18648167,122.6010267,248.6,13.8,1556440704,0,0,1.7
150,244726000,31.18605167,122.5996867,249.3,13.9,1556440724,0,0,0.7
151,244726000,31.185585,122.5982717,248.3,14,1556440744,0,0,-1
152,244726000,31.18512833,122.5970067,247.5,14.1,1556440761,0,0,-0.8
