time,up,down
2019-04-12 05:00:01,6,20
2019-04-12 06:00:01,8,13
2019-04-12 07:00:01,7,9
2019-04-12 08:00:01,10,14
2019-04-12 09:00:01,7,9
2019-04-12 10:00:01,9,4
2019-04-12 11:00:01,8,2
2019-04-12 12:00:01,11,6
2019-04-12 13:00:01,11,3
2019-04-12 14:00:01,9,8
2019-04-12 15:00:01,7,10
2019-04-12 16:00:01,9,13
2019-04-12 17:00:01,9,13
2019-04-12 18:00:01,8,8
2019-04-12 19:00:01,6,9
2019-04-12 20:00:01,11,6
2019-04-12 21:00:01,8,12
2019-04-12 22:00:01,10,4
2019-04-12 23:00:01,6,3
2019-04-13 00:00:01,8,3
2019-04-13 01:00:01,6,3
2019-04-13 02:00:01,9,6
2019-04-13 03:00:01,9,7
2019-04-13 04:00:01,6,12
2019-04-13 05:00:01,2,9
2019-04-13 06:00:01,10,19
2019-04-13 07:00:01,8,18
2019-04-13 08:00:01,5,14
2019-04-13 09:00:01,5,12
2019-04-13 10:00:01,6,11
2019-04-13 11:00:01,14,5
2019-04-13 12:00:01,6,4
2019-04-13 13:00:01,6,3
2019-04-13 14:00:01,8,7
2019-04-13 15:00:01,10,1
2019-04-13 16:00:01,11,4
2019-04-13 17:00:01,11,6
2019-04-13 18:00:01,11,10
2019-04-13 19:00:01,12,12
2019-04-13 20:00:01,12,13
2019-04-13 21:00:01,9,9
2019-04-13 22:00:01,5,10
2019-04-13 23:00:01,10,12
2019-04-14 00:00:01,11,8
2019-04-14 01:00:01,3,7
2019-04-14 02:00:01,5,5
2019-04-14 03:00:01,6,3
2019-04-14 04:00:01,7,2
2019-04-14 05:00:01,5,5
2019-04-14 06:00:01,6,15
2019-04-14 07:00:01,6,8
2019-04-14 08:00:01,5,6
2019-04-14 09:00:01,5,10
2019-04-14 10:00:01,6,13
2019-04-14 11:00:01,8,13
2019-04-14 12:00:01,15,6
2019-04-14 13:00:01,12,6
2019-04-14 14:00:01,8,4
2019-04-14 15:00:01,7,3
2019-04-14 16:00:01,15,4
2019-04-14 17:00:01,7,3
2019-04-14 18:00:01,5,6
2019-04-14 19:00:01,13,6
2019-04-14 20:00:01,9,6
2019-04-14 21:00:01,14,6
2019-04-14 22:00:01,11,8
2019-04-14 23:00:01,9,6
2019-04-15 00:00:01,10,5
2019-04-15 01:00:01,7,6
2019-04-15 02:00:01,8,4
2019-04-15 03:00:01,5,2
2019-04-15 04:00:01,4,1
2019-04-15 05:00:01,4,7
2019-04-15 06:00:01,3,6
2019-04-15 07:00:01,1,3
2019-04-15 08:00:01,1,8
2019-04-15 09:00:01,4,14
2019-04-15 10:00:01,8,9
2019-04-15 11:00:01,0,4
2019-04-15 12:00:01,1,4
2019-04-15 13:00:01,0,0
2019-04-15 14:00:01,1,0
2019-04-15 15:00:01,2,0
2019-04-15 16:00:01,4,1
2019-04-15 17:00:01,2,1
2019-04-15 18:00:01,11,2
2019-04-15 19:00:01,8,11
2019-04-15 20:00:01,8,9
2019-04-15 21:00:01,5,14
2019-04-15 22:00:01,9,10
2019-04-15 23:00:01,6,13
2019-04-16 00:00:01,7,13
2019-04-16 01:00:01,14,11
2019-04-16 02:00:01,8,11
2019-04-16 03:00:01,4,3
2019-04-16 04:00:01,1,9
2019-04-16 05:00:01,5,2
2019-04-16 06:00:01,3,3
2019-04-16 07:00:01,3,5
2019-04-16 08:00:01,3,7
2019-04-16 09:00:01,5,10
2019-04-16 10:00:01,3,3
2019-04-16 11:00:01,1,5
2019-04-16 12:00:01,0,16
2019-04-16 13:00:01,13,10
2019-04-16 14:00:01,14,8
2019-04-16 15:00:01,11,7
2019-04-16 16:00:01,10,5
2019-04-16 17:00:01,13,1
2019-04-16 18:00:01,17,6
2019-04-16 19:00:01,8,2
2019-04-16 20:00:01,7,6
2019-04-16 21:00:01,6,5
2019-04-16 22:00:01,6,7
2019-04-16 23:00:01,1,9
2019-04-17 00:00:01,7,17
2019-04-17 01:00:01,2,8
2019-04-17 02:00:01,7,10
2019-04-17 03:00:01,5,3
2019-04-17 04:00:01,6,5
2019-04-17 05:00:01,5,3
2019-04-17 06:00:01,8,5
2019-04-17 07:00:01,6,2
2019-04-17 08:00:01,10,10
2019-04-17 09:00:01,7,16
2019-04-17 10:00:01,3,11
2019-04-17 11:00:01,3,19
2019-04-17 12:00:01,4,12
2019-04-17 13:00:01,8,9
2019-04-17 14:00:01,4,7
2019-04-17 15:00:01,13,8
2019-04-17 16:00:01,12,10
2019-04-17 17:00:01,16,1
