INDEX,DRMMSI,DRLATITUDE,DRLONGITUDE,DRDIRECTION,DRSPEED,DRGPSTIME,STATUS,DRTRUEHEADING,DIRECTION,SP_Status
61,244726000,31.19128833,122.6291067,189.9,0.1,1556425877,1,0,-57.1,1
62,244726000,31.19130833,122.6290617,206.9,0.1,1556426057,1,0,17,1
63,244726000,31.19127,122.629065,204.5,0.1,1556426236,1,0,-2.4,1
64,244726000,31.191155,122.629035,179.6,0.2,1556426597,1,0,-24.9,1
65,244726000,31.19113,122.6290133,211,0.2,1556426778,1,0,31.4,1
66,244726000,31.19105167,122.6289983,233.1,0.1,1556427137,1,0,22.1,1
67,244726000,31.19101667,122.628975,148.8,0.1,1556427317,1,0,-84.3,1
68,244726000,31.19103667,122.6289517,208.2,0.1,1556427677,1,0,59.4,1
69,244726000,31.19099667,122.6288967,214.3,0.1,1556428037,1,0,6.1,1
70,244726000,31.19101,122.6288883,239.9,0.1,1556428217,1,0,25.6,1
71,244726000,31.19092,122.6289083,237.2,0.2,1556428577,1,0,-2.7,1
72,244726000,31.19089667,122.62891,226.9,0.1,1556428757,1,0,-10.3,1
73,244726000,31.19094167,122.62889,334,0.1,1556428937,1,0,107.1,1
74,244726000,31.19096833,122.6288567,305.7,0.1,1556429117,1,0,-28.3,1
75,244726000,31.19095333,122.6288417,251.4,0.1,1556429297,1,0,-54.3,1
76,244726000,31.19092,122.6288183,231.3,0.1,1556429478,1,0,-20.1,1
77,244726000,31.19084167,122.62873,218.3,0.1,1556429837,1,0,-13,1
78,244726000,31.19090167,122.6287067,313.7,0.1,1556430017,1,0,95.4,1
79,244726000,31.190845,122.62873,188.4,0.1,1556430198,1,0,-125.3,1
80,244726000,31.19087,122.6287283,223,0.1,1556430557,1,0,34.6,1
81,244726000,31.19089,122.6287583,307.3,0.1,1556430737,1,0,84.3,1
82,244726000,31.19090667,122.62876,270,0.2,1556431097,1,0,-37.3,1
83,244726000,31.19094333,122.628705,315.6,0.1,1556431277,1,0,45.6,1
84,244726000,31.19071333,122.62854,321.4,0.3,1556431817,1,0,5.8,1
85,244726000,31.190705,122.6284683,193.3,0.5,1556431997,1,0,-128.1,1
86,244726000,31.19053333,122.62833,179.9,0.3,1556432537,1,0,-13.4,1
87,244726000,31.19037833,122.628255,210.9,0.3,1556432717,1,0,31,1
88,244726000,31.190565,122.6281317,357.2,0.2,1556433077,1,0,146.3,1
89,244726000,31.19035333,122.628095,192.2,0.2,1556433257,1,0,-165,1
90,244726000,31.190375,122.628035,297.3,0.1,1556433437,1,0,105.1,1
91,244726000,31.190415,122.6279567,325.4,0.1,1556433617,1,0,28.1,1
92,244726000,31.19039667,122.62799,84.2,0.1,1556433977,1,0,-241.2,1
93,244726000,31.1903,122.6278533,242.9,0.2,1556434517,1,0,158.7,1
94,244726000,31.19015,122.627535,237.5,0.2,1556435597,1,0,-5.4,1
95,244726000,31.19009167,122.62746,230.5,0.2,1556435777,1,0,-7,1
96,244726000,31.19009833,122.6274317,246.4,0.1,1556435958,1,0,15.9,1
97,244726000,31.18984333,122.6272583,162.5,0.4,1556437217,1,0,-83.9,1
98,244726000,31.18970333,122.62704,356.9,0.4,1556437937,1,0,194.4,1
99,244726000,31.19007167,122.6268883,345,0.5,1556438117,1,0,-11.9,1
100,244726000,31.19001167,122.626515,208.3,0.4,1556438477,1,0,-136.7,1
101,244726000,31.18962,122.6262583,207.2,0.4,1556438658,1,0,-1.1,1
102,244726000,31.18986333,122.6258967,275,0.3,1556439018,1,0,67.8,1
103,244726000,31.19031,122.6251183,354.9,0.6,1556439553,1,0,79.9,1
104,244726000,31.19036667,122.6251167,0.2,0.6,1556439573,1,0,-354.7,1
105,244726000,31.19041833,122.6251267,7.3,0.6,1556439593,1,0,7.1,1
106,244726000,31.19052833,122.6251533,9.9,0.6,1556439633,1,0,2.6,1
107,244726000,31.19058833,122.6251667,15.3,0.6,1556439653,1,0,5.4,1
108,244726000,31.19065,122.6251767,17.9,0.6,1556439673,1,0,2.6,1
109,244726000,31.19070333,122.6252033,17.6,0.6,1556439693,1,0,-0.3,1
110,244726000,31.19075,122.625245,14.3,0.6,1556439714,1,0,-3.3,1
111,244726000,31.19082333,122.6252317,13.8,0.6,1556439733,1,0,-0.5,1
112,244726000,31.19086667,122.6252567,15.5,0.5,1556439753,1,0,1.7,1
113,244726000,31.19091333,122.62528,20.2,0.5,1556439773,1,0,4.7,1
114,244726000,31.191015,122.6253167,25.7,0.5,1556439813,1,0,5.5,1
115,244726000,31.19105333,122.6253233,27.6,0.4,1556439833,1,0,1.9,1
116,244726000,31.19108,122.62534,27.3,0.4,1556439853,1,0,-0.3,1
117,244726000,31.19109833,122.62538,46,0.4,1556439873,1,0,18.7,1
118,244726000,31.19111,122.6254417,74.5,0.6,1556439893,1,0,28.5,1
119,244726000,31.191125,122.6255117,78.1,0.7,1556439913,1,0,3.6,1
120,244726000,31.19117833,122.6260867,78,1.8,1556439993,1,0,-0.1,1
121,244726000,31.19122167,122.6262833,71.1,2.1,1556440011,1,0,-6.9,0
122,244726000,31.19132333,122.6265083,63.4,2.4,1556440030,0,0,-7.7,0
123,244726000,31.19143167,122.62669,56.7,2.6,1556440046,0,0,-6.7,0
124,244726000,31.191565,122.6268633,49.5,2.7,1556440063,0,0,-7.2,0
125,244726000,31.191715,122.62703,43.5,2.9,1556440078,0,0,-6,0
126,244726000,31.191895,122.62718,36.9,2.9,1556440093,0,0,-6.6,0
127,244726000,31.19211167,122.6273267,29.1,3.3,1556440109,0,0,-7.8,0
128,244726000,31.19241333,122.62746,18.4,3.6,1556440130,0,0,-10.7,0
129,244726000,31.19272,122.6275233,9.8,3.8,1556440146,0,0,-8.6,0
130,244726000,31.19296833,122.6275267,1,3.8,1556440161,0,0,-8.8,0
131,244726000,31.19361833,122.6273483,339.5,4.3,1556440196,0,0,338.5,0
132,244726000,31.19394333,122.6271217,328.2,4.6,1556440213,0,0,-11.3,0
133,244726000,31.19421667,122.626755,306.2,4.4,1556440233,0,0,-22,0
134,244726000,31.19426833,122.6263883,276.4,4.3,1556440250,0,0,-29.8,0
135,244726000,31.19428667,122.6254517,271.4,5.7,1556440282,0,0,-5,0
136,244726000,31.19411167,122.623925,258.6,7.6,1556440324,0,0,-12.8,0
137,244726000,31.19387,122.62316,248.5,8.1,1556440342,0,0,-10.1,0
138,244726000,31.19327167,122.6212483,250.8,9.7,1556440384,0,0,2.3,0
139,244726000,31.19296333,122.6202767,249.3,10.3,1556440403,0,0,-1.5,0
140,244726000,31.19261833,122.6191267,250.7,10.9,1556440424,0,0,1.4,0
141,244726000,31.19189167,122.6168567,249.4,11.8,1556440462,0,0,-1.3,0
142,244726000,31.191475,122.6155767,249.6,12.1,1556440484,0,0,0.2,0
143,244726000,31.19066333,122.6131333,246.3,12.5,1556440523,0,0,-3.3,0
144,244726000,31.19001667,122.6111317,249.1,12.9,1556440553,0,0,2.8,0
145,244726000,31.18934833,122.609255,251.3,13,1556440583,0,0,2.2,0
146,244726000,31.18888167,122.6078633,248.2,13.2,1556440603,0,0,-3.1,0
147,244726000,31.187485,122.60382,248.6,13.6,1556440664,0,0,0.4,0
148,244726000,31.18697,122.60248,246.9,13.6,1556440684,0,0,-1.7,0
149,244726000,31.18648167,122.6010267,248.6,13.8,1556440704,0,0,1.7,0
