Date,Time,MMSI,SPEED,Longitude,Latitude,COG
2021-04-16,15:17:44,212054000,11.5,122.7786533,29.82848,37
2021-04-16,15:18:05,212054000,11.5,122.7794533,29.82928,36
2021-04-16,15:18:24,212054000,11.5,122.7802933,29.83013,36
2021-04-16,15:18:54,212054000,11.5,122.7814533,29.8313,35
2021-04-16,15:19:09,212054000,11.4,122.7818533,29.8317,35
2021-04-16,15:19:33,212054000,11.5,122.783,29.83283,34
2021-04-16,15:19:55,212054000,11.6,122.7838533,29.83375,33
2021-04-16,15:20:24,212054000,11.6,122.7850533,29.83503,33
2021-04-16,15:20:54,212054000,11.5,122.7862,29.8363,32
2021-04-16,15:21:15,212054000,11.5,122.7869467,29.83715,33
2021-04-16,15:21:33,212054000,11.5,122.7876133,29.83791,33
2021-04-16,15:22:05,212054000,11.5,122.7887867,29.83925,34
2021-04-16,15:22:24,212054000,11.5,122.7895867,29.84013,35
2021-04-16,15:22:44,212054000,11.5,122.7902533,29.8409,35
2021-04-16,15:23:15,212054000,11.5,122.7914933,29.84223,36
2021-04-16,15:23:35,212054000,11.6,122.79232,29.84311,37
2021-04-16,15:24:15,212054000,11.6,122.79392,29.84473,38
2021-04-16,15:24:35,212054000,11.6,122.79472,29.8455,37
2021-04-16,15:25:05,212054000,11.6,122.79592,29.84665,36
2021-04-16,15:25:25,212054000,11.5,122.79684,29.84753,36
2021-04-16,15:25:44,212054000,11.5,122.79756,29.84826,35
2021-04-16,15:26:05,212054000,11.6,122.79836,29.84908,35
2021-04-16,15:26:25,212054000,11.5,122.7992133,29.84995,35
2021-04-16,15:26:40,212054000,11.5,122.79956,29.85033,36
2021-04-16,15:27:05,212054000,11.5,122.80072,29.85158,37
2021-04-16,15:27:25,212054000,11.5,122.8016,29.85248,38
2021-04-16,15:27:45,212054000,11.6,122.8024667,29.85335,38
2021-04-16,15:28:05,212054000,11.6,122.8033067,29.85415,39
2021-04-16,15:28:24,212054000,11.5,122.80404,29.85486,39
